scientific_name,overwinteringStage,voltinism,diurnality,notes.x,onsetProblems,offsetProblems,overwintering.stage.y,voltinism.y,notes.y,WikiName,OrigSyn,Syn,validName
Grammia williamsii,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis williamsii,Apantesis williamsii,Apantesis williamsii,Apantesis williamsii
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Halia packardaria Möschler, 1883",Halia packardaria,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Heterophleps atrosignata Walker, 1862",Heterophleps atrosignata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Itame epigenata Barnes & McDunnough, 1917",Itame epigenata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Thera bitactata Walker, 1862",Thera bitactata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Halia packardaria Möschler, 1883",Halia packardaria,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Heterophleps atrosignata Walker, 1862",Heterophleps atrosignata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Itame epigenata Barnes & McDunnough, 1917",Itame epigenata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Thera bitactata Walker, 1862",Thera bitactata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Halia packardaria Möschler, 1883",Halia packardaria,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Heterophleps atrosignata Walker, 1862",Heterophleps atrosignata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Itame epigenata Barnes & McDunnough, 1917",Itame epigenata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Thera bitactata Walker, 1862",Thera bitactata,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Halia packardaria Möschler, 1883",Halia packardaria,Speranza bitactata
Speranza bitactata,,,N,,N,,NA,NA,NA,Speranza bitactata,"Heterophleps atrosignata Walker, 1862",Heterophleps atrosignata,Speranza bitactata
