,scientific_name,Syn,validName,overwintering.stage,voltinism,diurnality,notes,onsetProblems,offsetProblems
156,Limenitis arthemis,NA,Limenitis arthemis,L,M,D,,N,
157,Lycorea isabella,NA,Lycorea isabella,,,,,Y,
246,Speranza bitactata,Itame bitactata,Macaria bitactata,,,N,,N,
247,Speranza bitactata,Macaria bitactata,Macaria bitactata,,,N,,N,
248,Speranza bitactata,Thera bitactata,Macaria bitactata,,,N,,N,
249,Speranza bitactata,Itame epigenata,Macaria bitactata,,,N,,N,
250,Speranza bitactata,Heterophleps atrosignata,Macaria bitactata,,,N,,N,
251,Speranza bitactata,Halia packardaria,Macaria bitactata,,,N,,N,
158,Magneuptychia libye,NA,Magneuptychia libye,,,D,,Y,
159,Manduca florestan,NA,Manduca florestan,,U,N,,NA,
160,Marpesia chiron,NA,Marpesia chiron,,,D,,Y,
161,Marpesia petreus,NA,Marpesia petreus,,M,D,,Y,
162,Mechanitis polymnia,NA,Mechanitis polymnia,,M,D,flies year round,Y,
163,Megalopyge opercularis,NA,Megalopyge opercularis,L,M,N,,Y,
164,Melanis cephise,NA,Melanis cephise,,,D,,Y,
165,Melanis pixe,NA,Melanis pixe,,,D,,Y,
166,Melese laodamia,NA,Melese laodamia,,,N,,Y,
167,Memphis forreri,NA,Memphis forreri,,,D,,Y,
168,Memphis moruus,NA,Memphis moruus,,,D,,Y,
169,Memphis pithyusa,NA,Memphis pithyusa,,M,D,,Y,
170,Mesosemia lamachus,NA,Mesosemia lamachus,,,D,,Y,
171,Mestra dorcas,NA,Mestra dorcas,,,D,,Y,
172,Metamorpha stelenes,NA,Metamorpha stelenes,,,D,,Y,
173,Microtia elva,NA,Microtia elva,,,D,,Y,
174,Morpho helenor,NA,Morpho helenor,,,D,,Y,
175,Morpho polyphemus,NA,Morpho polyphemus,,,D,,Y,
176,Myscelia cyaniris,NA,Myscelia cyaniris,,M,D,,Y,
177,Myscelia ethusa,NA,Myscelia ethusa,,M,D,,Y,
178,Nessaea aglaura,NA,Nessaea aglaura,,M,D,,Y,
179,Nica flavilla,NA,Nica flavilla,,,D,,Y,
180,Notarctia proxima,NA,Notarctia proxima,,M,N,,Y,
181,Nymphalis antiopa,NA,Nymphalis antiopa,A,U,D,,a few low latitude outliers,
182,Oeneis polixenes,NA,Oeneis polixenes,L,U,D,,N,
183,Oeneis polyxenes,Papilio polyxenes,Papilio polyxenes,P,M,D,,N,
184,Oleria paula,NA,Oleria paula,,,D,,Y,
185,Opsiphanes boisduvalii,NA,Opsiphanes boisduvalii,,,D,,Y,
186,Opsiphanes quiteria,NA,Opsiphanes quiteria,,,D,,NA,
187,Panthiades bitias,NA,Panthiades bitias,,,D,,Y,
188,Pantographa limata,NA,Pantographa limata,L,U,N,,N,
189,Papilio cresphontes,NA,Papilio cresphontes,P,M,D,,Y,
190,Papilio glaucus,NA,Papilio glaucus,P,M,D,,outliers with late onset,
191,Papilio thoas,NA,Papilio thoas,,,D,,Y,
192,Papilio troilus,NA,Papilio troilus,P,M,D,,one outlier,
193,Pareuptychia metaleuca,NA,Pareuptychia metaleuca,,,D,,Y,
194,Pareuptychia ocirrhoe,NA,Pareuptychia ocirrhoe,,,D,,Y,
195,Parides erithalion,NA,Parides erithalion,,,D,,Y,
196,Parides iphidamas,NA,Parides iphidamas,,,D,,Y,
197,Parides montezuma,NA,Parides montezuma,,,D,,Y,
198,Parides photinus,NA,Parides photinus,,,D,,Y,
199,Perigonia lusca,NA,Perigonia lusca,,M,N,,NA,
200,Periphoba arcaei,NA,Periphoba arcaei,,M,N,,NA,
201,Phoebis agarithe,NA,Phoebis agarithe,,M,D,,Y,
202,Phoebis argante,NA,Phoebis argante,,M,D,,Y,
203,Phoebis neocypris,NA,Phoebis neocypris,,F,D,,Y,
204,Phoebis philea,NA,Phoebis philea,,F,D,,Y,
205,Pholisora catullus,NA,Pholisora catullus,L,M,D,,one late outlier,
206,Phyciodes pallescens,NA,Phyciodes pallescens,,,D,,N,
207,Phyciodes tharos,NA,Phyciodes tharos,L,M,D,,N,
208,Pieriballia viardi,NA,Pieriballia viardi,,,D,,Y,
209,Pieris rapae,NA,Pieris rapae,P,M,D,,N,
210,Pindis squamistriga,NA,Pindis squamistriga,,,D,,Y,
211,Pleuroptya silicalis,NA,Pleuroptya silicalis,,,N,,NA,
212,Poanes hobomok,NA,Poanes hobomok,L,U,D,,N,
213,Poanes massasoit,NA,Poanes massasoit,,U,D,,N,
214,Poanes viator,NA,Poanes viator,L,F,D,,N,
215,Poanes zabulon,Hesperia erratica,Poanes zabulon,L,M,D,,low latitude problems,
216,Polites peckius,NA,Polites peckius,P,M,D,,N,
217,Polites themistocles,NA,Polites themistocles,P,F,D,,N,
218,Polygonia comma,NA,Polygonia comma,A,M,D,,N,
219,Polygonia interrogationis,NA,Polygonia interrogationis,A,M,D,,N,
220,Polygonus savigny,NA,Polygonus savigny,,,D,,Y,
221,Pompeius pompeius,NA,Pompeius pompeius,,,D,,Y,
222,Pontia protodice,NA,Pontia protodice,P,M,D,,N,
223,Protambulyx strigilis,Protambulyx carteri,Protambulyx strigilis,,,N,,NA,
224,Protographium epidaus,NA,Protographium epidaus,,,D,,Y,
225,Protographium philolaus,NA,Protographium philolaus,,,D,,N,
226,Pyrgus adepta,NA,Pyrgus adepta,,,D,,Y,
233,Pyrisitia lisa,NA,Pyrisitia lisa,A,F,D,,Y,
234,Pyrisitia nise,NA,Pyrisitia nise,,M,D,,Y,
235,Pyrisitia proterpia,Eurema proterpia,Pyrisitia proterpia,,,D,,Y,
236,Pyrrharctia isabella,NA,Pyrrharctia isabella,L,M,N,,Y,
237,Pyrrhogyra neaerea,NA,Pyrrhogyra neaerea,,,D,,Y,
238,Pyrrhogyra otolais,NA,Pyrrhogyra otolais,,,D,,Y,
239,Satyrium calanus,NA,Satyrium calanus,E,U,D,,N,
240,Satyrium liparops,NA,Satyrium liparops,E,U,D,,N,
241,Schrankia macula,NA,Schrankia macula,,,N,,NA,
242,Semaeopus illimitata,NA,Semaeopus illimitata,,,N,,Y,
243,Siderone galanthis,NA,Siderone galanthis,,,D,,NA,
244,Siproeta stelenes,NA,Siproeta stelenes,,,D,,Y,
245,Spathilepia clonius,NA,Spathilepia clonius,,,D,,Y,
252,Speyeria cybele,NA,Speyeria cybele,L,U,D,,N,
253,Sphingicampa quadrilineata,NA,Sphingicampa quadrilineata,,,N,,NA,
272,Urbanus simplicius,Goniurus gracilicauda,Spicauda simplicius,,,D,,NA,
273,Urbanus simplicius,Goniurus pilatus,Spicauda simplicius,,,D,,NA,
274,Urbanus simplicius,Thymele borja,Spicauda simplicius,,,D,,NA,
275,Urbanus simplicius,Thymele thiemei,Spicauda simplicius,,,D,,NA,
276,Urbanus simplicius,Thymele thiemei,Spicauda simplicius,,,D,,NA,
277,Urbanus teleus,Eudamus eurycles,Spicauda teleus,,M,D,,NA,
278,Urbanus teleus,Goniurus latipennis,Spicauda teleus,,M,D,,NA,
279,Urbanus teleus,Goniurus zalanthus,Spicauda teleus,,M,D,,NA,
280,Urbanus teleus,Spicauda teleus,Spicauda teleus,,M,D,,NA,
254,Spilosoma virginica,Diacrisia virginica,Spilosoma virginica,L,M,N,,N,
255,Spodoptera dolichos,NA,Spodoptera dolichos,,,N,,NA,
256,Staphylus vulgata,NA,Staphylus vulgata,,,D,,NA,
257,Strymon melinus,NA,Strymon melinus,P,M,D,,N,
258,Synchlora frondaria,NA,Synchlora frondaria,,,N,,NA,
259,Synclita obliteralis,NA,Synclita obliteralis,,,N,,NA,
260,Syngamia florella,NA,Syngamia florella,,M,B,,Y,
261,Taygetis virgilia,NA,Taygetis virgilia,,,D,,Y,
262,Temenis laothoe,NA,Temenis laothoe,,,D,,Y,
263,Terastia meticulosalis,NA,Terastia meticulosalis,,M,N,,NA,
264,Texola elada,NA,Texola elada,,M,D,,Y,
265,Thymelicus lineola,NA,Thymelicus lineola,E,U,D,,N,
266,Timochares ruptifasciata,Timochares ruptifasciatus,Timochares ruptifasciata,,M,D,,Y,
267,Timochares trifasciata,NA,Timochares trifasciata,,,D,,Y,
268,Urbanus dorantes,NA,Urbanus dorantes,,M,D,,Y,
269,Urbanus esmeraldus,NA,Urbanus esmeraldus,,F,D,,NA,
270,Urbanus procne,NA,Urbanus procne,,M,D,,NA,
271,Urbanus proteus,NA,Urbanus proteus,A,M,D,,NA,
280,Vanessa atalanta,NA,Vanessa atalanta,A,M,D,,low latitude problems,
281,Vanessa virginiensis,NA,Vanessa virginiensis,A,M,D,,N,
282,Wallengrenia egeremet,Hesperia cinna,Wallengrenia egeremet,L,F,D,,N,
283,Wallengrenia egeremet,Pamphila ursa,Wallengrenia egeremet,L,F,D,,N,
284,Xylophanes ceratomioides,NA,Xylophanes ceratomioides,,M,N,,NA,
285,Xylophanes chiron,NA,Xylophanes chiron,,,N,,NA,
286,Xylophanes libya,NA,Xylophanes libya,,F,N,,NA,
287,Xylophanes pluto,NA,Xylophanes pluto,,M,N,,NA,
288,Xylophanes tersa,NA,Xylophanes tersa,P,F,N,,NA,
289,Xylophanes thyelia,NA,Xylophanes thyelia,,,N,,NA,
290,Zaretis ellops,NA,Zaretis ellops,,,D,,NA,
291,Zerene cesonia,Colias cesonia,Zerene cesonia,A,F,D,,Y,
,,,,,,,,Y,
