Year,id_cells,MAT,bio4,MAP,bio15
1902,4,21.42058824,143.0484358,134.979902,1.09596873
1903,4,21.11862745,155.1210632,141.3215686,0.919543704
1904,4,20.67745098,119.4688739,168.0455882,0.874033436
1905,4,21.23284314,186.3705345,128.1112745,0.87429645
1906,4,21.17843137,161.9510319,144.4647059,0.868645289
1907,4,20.94411765,131.6458679,115.502451,0.863948397
1908,4,21.23333333,145.1319712,129.2838235,1.090888312
1909,4,21.78039216,175.4504646,233.6416667,0.998114138
1910,4,20.39901961,156.2049762,176.6,1.091628498
1911,4,21.57696078,126.9144202,140.9676471,1.036123808
1912,4,21.86715686,169.5615717,116.052451,1.073249525
1913,4,21.37598039,79.12942071,144.9808824,0.731578546
1914,4,21.19411765,154.0242607,88.63970588,1.021598187
1915,4,21.02205882,177.8831666,163.3759804,0.991336741
1916,4,21.78578431,146.6371309,217.8431373,0.951711601
1917,4,21.38676471,155.4556393,177.0117647,1.030897691
1918,4,21.39803922,115.0214663,122.0093137,1.294445261
1919,4,21.44264706,130.0301286,131.9647059,0.841879202
1920,4,21.47205882,142.9416687,107.7112745,0.947241219
1921,4,20.97696078,137.2998105,152.0112745,0.933993843
1922,4,21.24803922,126.3759163,171.7730392,0.749561027
1923,4,21.21029412,135.9618726,118.8823529,1.006959127
1924,4,21.15098039,134.4653204,178.7142157,0.983775088
1925,4,21.16176471,128.0483606,120.3142157,0.840537401
1926,4,21.68333333,147.6939432,146.3970588,1.006876982
1927,4,21.48578431,146.8492072,152.9784314,0.962192442
1928,4,21.75343137,137.5777652,161.4220588,1.029244533
1929,4,21.78235294,129.6478171,166.9838235,1.064694915
1930,4,21.63284314,137.1842866,121.7436275,1.033663562
1931,4,20.07990196,130.4487242,173.7980392,1.008908629
1932,4,20.1372549,141.9353357,154.4495098,1.045044828
1933,4,20.27303922,157.5641777,202.5215686,1.120688291
1934,4,20.30490196,132.3083408,140.7254902,0.991007245
1935,4,20.20392157,175.0647359,151.65,0.95418476
1936,4,20.67843137,118.7516987,163.2318627,1.07459957
1937,4,20.52794118,125.7866127,171.152451,0.889929132
1938,4,20.00392157,133.4182459,168.427451,0.896236893
1939,4,20.15735294,124.2258077,126.7436275,0.919416247
1940,4,20.19803922,155.4091287,121.2563725,1.06564729
1941,4,20.61862745,165.9422744,155.3147059,0.873867019
1942,4,20.87156863,161.832571,157.3647059,0.951851398
